id,x,y
6701,-3.542959,-52.58116
8191,-68.661766,2.0713716
2104,96.78708,15.455882
9845,-68.66772,2.0649717
7505,-87.54002,-77.696
8992,9.689957,-44.706158
2935,-101.52232,6.94259
5050,-87.45006,-77.66202
6270,32.678547,-36.719017
1806,114.97218,29.662539
933,96.50653,15.550791
3825,62.180058,-63.590324
8721,96.13346,15.666587
1319,112.987686,-12.087571
3834,-13.9402485,-117.64346
1772,94.19174,-44.868828
1726,5.8516335,-23.491934
7368,-86.817085,-77.19232
3372,2.693036,-73.079346
9391,114.985016,29.257149
1446,-100.74011,6.7816033
8423,-99.87963,7.21832
2258,52.24799,-48.165516
6678,-4.203554,-52.575203
4454,112.82044,-12.630802
5203,-34.883568,-119.465454
5572,54.765785,6.8654428
1322,70.8973,-43.115845
2238,116.91002,-34.717537
7155,23.794353,-58.9444
6408,94.12625,-45.214966
1364,64.692764,0.58124983
5826,-34.88211,-119.93477
8531,-34.754364,-117.71766
9090,95.74755,15.77704
6897,-28.498055,90.903366
9349,85.866684,5.222988
7443,9.787185,-44.46966
7540,-113.90838,-17.57636
4226,85.81146,5.216265
7731,-40.46535,-101.97632
1977,87.39887,6.1691585
3117,-34.097923,-71.52004
8635,111.48159,34.834377
7461,-40.510727,-102.08652
3537,-30.232918,-34.350952
1360,-49.47777,-119.15586
8824,-89.59624,102.97157
4035,29.05235,-39.87318
8797,-55.223854,-72.07827
2563,29.872646,-80.87111
8574,-17.828821,-118.635796
5617,9.639981,-127.04364
7462,113.63006,-41.407864
7619,35.19812,-90.34766
2545,111.86682,34.430065
8020,59.021915,-34.95167
4769,5.6389313,-123.625595
6566,9.822949,-127.59791
1210,-17.811485,-118.56788
3334,4.5318117,-72.4314
474,74.092964,-40.589165
8162,112.096436,-11.133954
7122,-64.26741,-100.63077
6602,-15.398144,-31.02525
7105,-7.7424498,-69.72607
2010,112.88182,-12.699956
4665,21.974417,67.074455
8377,-12.019792,4.954063
2887,-64.33637,-100.51107
5631,116.77861,-34.100334
1249,115.11634,23.98885
6705,82.50292,-9.9687605
569,113.69358,-41.31161
4547,64.14224,-2.247547
8900,111.22988,-12.31536
5569,124.86901,-30.744413
7675,-37.25424,-84.809494
1765,27.420586,-10.77624
5202,-3.8200083,-95.67431
4633,63.207066,-4.590663
1037,-37.218716,-84.00697
5859,123.76119,-31.216196
5300,-34.61267,-117.879616
1147,117.48456,-34.58256
6665,115.305504,27.33582
1945,71.54991,-26.01549
8967,-30.379982,23.76073
7017,9.828465,-127.49417
3107,83.14968,1.6061747
8113,-115.32986,59.385166
5023,115.47965,-22.946005
2292,62.20517,64.76167
932,-34.586494,-119.00286
3126,-18.304836,-96.633354
5027,-55.814014,-120.43736
6202,-38.654,-79.27856
6609,17.885454,-20.146708
5466,125.13767,-31.19969
9709,22.317867,60.130814
9271,110.69327,36.259254
5243,-2.2504091,-97.00148
3208,49.18523,-36.09406
9183,-38.416374,-79.39489
2102,112.29298,-41.452038
1018,52.10964,-89.01158
8038,-114.418045,-17.827703
2035,5.0781217,-37.404697
5491,-50.181503,-111.09114
4757,87.435844,6.409677
4585,98.23928,-31.618454
140,-101.98274,6.635091
6657,117.960724,-34.552612
2871,114.22619,-41.87425
5888,94.53696,-22.029457
7673,108.87741,36.953114
5361,35.856434,-90.29567
7065,-39.7734,-78.54334
7545,112.901886,-12.99819
4616,-63.521122,2.5285804
4976,12.901421,-42.512745
1099,47.997593,-52.30994
695,-84.27531,101.88395
6235,104.77945,20.027096
1663,-61.02011,-3.1677716
776,8.876723,-45.715042
2329,16.16065,-125.76956
5675,118.08929,-34.51012
8024,66.368904,-4.086541
8672,98.896904,-41.899654
3526,63.995796,0.29722828
236,41.391407,-27.68614
4945,107.08319,30.448359
5277,-2.0090551,-101.809296
9713,27.2488,-116.35434
6949,109.545456,-8.795166
1443,-100.5423,6.4032564
278,-27.648184,-117.22658
